COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
26133,49639,0.089898580,0.112956811,0.090909091,0.090971586
26133,49657,0.000081136,0.000000000,0.000000000,0.000076383
26133,49631,0.235780933,0.184385382,0.212121212,0.233119462
26133,49688,0.098661258,0.064784053,0.030303030,0.096241980
26133,49677,0.224908722,0.493355482,0.521212121,0.240986862
26133,49679,0.053306288,0.028239203,0.024242424,0.051787351
26133,49338,0.001054767,0.001661130,0.084848485,0.002138711
26133,49655,0.156105477,0.043189369,0.000000000,0.148945921
26133,49665,0.138093306,0.071428571,0.036363636,0.133745799
26133,48632,0.002109533,0.000000000,0.000000000,0.001985946
26135,48647,0.414426727,0.643192488,0.226415094,0.418597914
26135,48619,0.045709947,0.061032864,0.122641509,0.047363847
26135,49756,0.280941534,0.070422535,0.584905660,0.279113557
26135,48621,0.119665907,0.150234742,0.056603774,0.119640788
26135,48636,0.090053151,0.056338028,0.000000000,0.087630359
26135,48728,0.008959757,0.000000000,0.000000000,0.008545771
26135,48761,0.004403948,0.000000000,0.000000000,0.004200463
26135,48654,0.035839028,0.018779343,0.009433962,0.034907300
26137,49730,0.016425315,0.001157407,0.000000000,0.014441911
26137,49797,0.000000000,0.001157407,0.000000000,0.000116939
26137,49735,0.708299812,0.688657407,0.958605664,0.713032801
26137,49795,0.076964334,0.028356481,0.034858388,0.070923230
26137,49756,0.000134084,0.000000000,0.000000000,0.000116939
26137,49734,0.087758112,0.258101852,0.004357298,0.102730515
26137,49733,0.016358273,0.001736111,0.002178649,0.014500380
26137,49751,0.093322607,0.020833333,0.000000000,0.083494124
26137,49738,0.000737463,0.000000000,0.000000000,0.000643162
26139,49434,0.000622501,0.000407997,0.000000000,0.000585887
26139,49423,0.103273830,0.142186863,0.165502289,0.108271945
26139,49404,0.029003297,0.029273766,0.024572392,0.028880331
26139,49417,0.127796872,0.163708690,0.148397976,0.131215286
26139,49422,0.012397419,0.051815585,0.000481812,0.015029958
26139,49435,0.011871361,0.009485924,0.003131775,0.011405270
26139,49451,0.001095953,0.000203998,0.000963623,0.001023350
26139,49330,0.000333170,0.000000000,0.000000000,0.000296849
26139,49315,0.002542611,0.000203998,0.000481812,0.002296678
26139,49544,0.000210423,0.000000000,0.000000000,0.000187484
26139,49448,0.012835800,0.011015912,0.008431703,0.012553609
26139,49409,0.000219191,0.002243982,0.000000000,0.000367156
26139,49429,0.003813916,0.025091799,0.000481812,0.005335479
26139,49403,0.007426177,0.003977968,0.000963623,0.006952528
26139,49415,0.002376026,0.000917993,0.002409058,0.002265430
26139,49424,0.164629656,0.188698490,0.284509757,0.170360360
26139,49426,0.120388230,0.078131375,0.062153698,0.115263532
26139,49430,0.000035070,0.000203998,0.000000000,0.000046871
26139,49345,0.000061373,0.000000000,0.000000000,0.000054683
26139,49460,0.032790910,0.011423909,0.004095399,0.030223965
26139,49428,0.086019148,0.078437373,0.072030836,0.084984884
26139,49427,0.000000000,0.000101999,0.000000000,0.000007812
26139,49323,0.000087676,0.000000000,0.000000000,0.000078118
26139,49318,0.001113488,0.000203998,0.000000000,0.001007726
26139,49534,0.024391527,0.019991840,0.024331486,0.024052620
26139,49456,0.081907133,0.059567523,0.076367140,0.080016561
26139,49401,0.066932033,0.033659731,0.049867502,0.063830452
26139,49464,0.088649435,0.085067319,0.042881233,0.086890970
26139,49418,0.017175773,0.003977968,0.027945073,0.016514206
26141,49777,0.153352835,0.054631829,0.035714286,0.147876078
26141,49759,0.144576958,0.042755344,0.000000000,0.138720324
26141,49776,0.094284428,0.111638955,0.166666667,0.095709571
26141,49765,0.190144014,0.116389549,0.095238095,0.185989567
26141,49707,0.046354635,0.000000000,0.071428571,0.044501224
26141,49746,0.000900090,0.000000000,0.000000000,0.000851698
26141,49743,0.064806481,0.021377672,0.000000000,0.062280422
26141,49779,0.305580558,0.653206651,0.630952381,0.324071117
26143,48627,0.024505233,0.033437827,0.004166667,0.024684131
26143,48624,0.007304942,0.003134796,0.000000000,0.007024733
26143,48630,0.007667599,0.000000000,0.000000000,0.007219864
26143,48651,0.167288364,0.148380355,0.237500000,0.167227670
26143,48656,0.169205264,0.091954023,0.083333333,0.164593395
26143,48629,0.319448762,0.509926855,0.495833333,0.330406361
26143,48653,0.304579836,0.213166144,0.179166667,0.298843846
26145,48638,0.071126380,0.046677720,0.107260233,0.070455644
26145,48604,0.048467305,0.127152149,0.069017030,0.054967346
26145,48757,0.003912587,0.005356460,0.001195100,0.003933687
26145,48637,0.012978338,0.004208647,0.000597550,0.011933762
26145,48807,0.001325402,0.000000000,0.000000000,0.001184845
26145,48415,0.041850898,0.055350083,0.039438303,0.042777657
26145,48417,0.012967734,0.002168091,0.003286525,0.011857932
26145,48649,0.007761555,0.002550695,0.000000000,0.007128030
26145,48841,0.000795241,0.000255070,0.000000000,0.000729865
26145,48606,0.002247882,0.005228925,0.000597550,0.002417085
26145,48616,0.035011823,0.028057646,0.023304452,0.034123546
