Zip,Population Total,Slab 1,Slab 2,Slab 3,Slab 4,Slab 5,Slab 6
52347,700,0.285714286,0.3,0.171428571,0.114285714,0.128571429,0
52349,3300,0.318181818,0.242424242,0.151515152,0.13030303,0.136363636,0.021212121
52351,700,0.271428571,0.142857143,0.128571429,0.128571429,0.3,0.028571429
52352,890,0.280898876,0.224719101,0.168539326,0.112359551,0.191011236,0.02247191
52353,4330,0.348729792,0.265588915,0.159353349,0.099307159,0.101616628,0.025404157
52354,190,0.263157895,0.210526316,0.210526316,0.105263158,0.210526316,0
52355,130,0.307692308,0.307692308,0.153846154,0.230769231,0,0
52356,1210,0.280991736,0.26446281,0.181818182,0.140495868,0.115702479,0.016528926
52358,1800,0.261111111,0.233333333,0.183333333,0.122222222,0.172222222,0.027777778
52359,130,0.307692308,0.538461538,0,0.153846154,0,0
52361,2260,0.274336283,0.225663717,0.172566372,0.14159292,0.163716814,0.022123894
52362,440,0.318181818,0.25,0.204545455,0.113636364,0.113636364,0
52401,850,0.458823529,0.317647059,0.094117647,0.035294118,0.058823529,0.035294118
52402,19440,0.315329218,0.25154321,0.158950617,0.108539095,0.138888889,0.026748971
52403,11080,0.320397112,0.241877256,0.134476534,0.098375451,0.143501805,0.061371841
52404,19460,0.365878726,0.302672148,0.141315519,0.08684481,0.090441932,0.012846865
52405,12550,0.308366534,0.277290837,0.164143426,0.112350598,0.121912351,0.015936255
52411,3630,0.225895317,0.107438017,0.082644628,0.099173554,0.314049587,0.170798898
52501,12840,0.387071651,0.277258567,0.151090343,0.089563863,0.080996885,0.014018692
52530,470,0.319148936,0.276595745,0.170212766,0.106382979,0.127659574,0
52531,2520,0.369047619,0.253968254,0.158730159,0.111111111,0.095238095,0.011904762
52533,500,0.34,0.26,0.16,0.12,0.12,0
52534,130,0.384615385,0.307692308,0.153846154,0.153846154,0,0
52535,370,0.351351351,0.297297297,0.162162162,0.108108108,0.081081081,0
52536,410,0.341463415,0.243902439,0.195121951,0.097560976,0.12195122,0
52537,2760,0.333333333,0.264492754,0.166666667,0.112318841,0.105072464,0.018115942
