Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
96122,0.024096386,0.024096386,0.012048193,0,0,0,0.060240964
96124,0,0,0,0,0,0,0
96125,0,0,0,0,0,0,0
96126,0,0,0,0,0,0,0
96128,0,0,0,0,0,0,0
96130,0.011844332,0.011844332,0.008460237,0,0,0,0.0321489
96134,0.023529412,0,0,0,0,0,0.023529412
96137,0.033898305,0.042372881,0,0,0,0,0.076271186
96140,0.031746032,0.063492063,0.031746032,0,0,0,0.126984127
96141,0,0.114285714,0,0,0,0,0.114285714
96142,0,0.108108108,0,0,0,0,0.108108108
96143,0.026315789,0.047368421,0.026315789,0,0,0,0.1
96145,0.056521739,0.082608696,0.026086957,0.017391304,0,0,0.182608696
96146,0.042253521,0.056338028,0.042253521,0,0,0,0.14084507
96148,0,0.1,0,0,0,0,0.1
96150,0.03461063,0.038318912,0.011124845,0.004944376,0.004944376,0,0.09394314
96155,0.058823529,0.078431373,0,0,0,0,0.137254902
96161,0.024561404,0.035087719,0.015789474,0.007017544,0.005263158,0,0.087719298
96701,0.002870813,0.001913876,0,0,0,0,0.004784689
96703,0,0,0,0,0,0,0
96704,0.013157895,0.013157895,0,0,0,0,0.026315789
96705,0,0,0,0,0,0,0
96706,0.001548467,0.00185816,0,0,0,0,0.003406627
96707,0.002478929,0.001983143,0,0,0,0,0.004462072
96708,0.01285347,0.01285347,0,0,0,0,0.025706941
96710,0,0,0,0,0,0,0
96712,0.008746356,0.011661808,0,0,0,0,0.020408163
96713,0,0,0,0,0,0,0
96714,0,0,0,0,0,0,0
96716,0,0,0,0,0,0,0
96717,0,0,0,0,0,0,0
96719,0.024390244,0,0,0,0,0,0.024390244
96720,0.007518797,0.004422822,0.001326847,0,0,0,0.013268465
96722,0.028301887,0,0,0,0,0,0.028301887
96725,0,0.026315789,0,0,0,0,0.026315789
96726,0,0,0,0,0,0,0
96727,0.012396694,0.008264463,0,0,0,0,0.020661157
96728,0,0,0,0,0,0,0
96729,0,0,0,0,0,0,0
96730,0,0,0,0,0,0,0
96731,0,0,0,0,0,0,0
96732,0.004191115,0.003352892,0,0,0,0,0.007544007
96734,0.003056769,0.003056769,0.001310044,0,0,0,0.007423581
96737,0.044444444,0,0,0,0,0,0.044444444
96738,0.008982036,0.01497006,0,0,0,0,0.023952096
96740,0.013245033,0.008830022,0.003679176,0.00147167,0,0,0.027225901
96741,0.007968127,0.007968127,0,0,0,0,0.015936255
96743,0.005008347,0.008347245,0,0,0,0,0.013355593
96744,0.002549162,0.00182083,0.000728332,0,0,0,0.005098325
96746,0.006818182,0.004545455,0.002272727,0,0,0,0.013636364
96747,0,0,0,0,0,0,0
96748,0,0,0,0,0,0,0
96749,0.0152207,0.00913242,0,0,0,0,0.02435312
96750,0.018726592,0,0,0,0,0,0.018726592
96751,0,0,0,0,0,0,0
96752,0,0,0,0,0,0,0
96753,0.012130402,0.009097801,0.0030326,0,0,0,0.024260804
96754,0.01025641,0.015384615,0,0,0,0,0.025641026
96755,0.016949153,0,0,0,0,0,0.016949153
96756,0.014869888,0,0,0,0,0,0.014869888
96757,0,0,0,0,0,0,0
96759,0,0,0,0,0,0,0
96760,0.014705882,0,0,0,0,0,0.014705882
96761,0.006227758,0.007117438,0.001779359,0,0,0,0.015124555
96762,0,0,0,0,0,0,0
96763,0,0,0,0,0,0,0
96764,0,0,0,0,0,0,0
96765,0,0,0,0,0,0,0
96766,0.003452244,0.004602992,0,0,0,0,0.008055236
96768,0.008641975,0.007407407,0.004938272,0,0,0,0.020987654
96769,0,0,0,0,0,0,0
96770,0,0,0,0,0,0,0
96771,0.01910828,0,0,0,0,0,0.01910828
96772,0.022727273,0,0,0,0,0,0.022727273
96773,0,0,0,0,0,0,0
96776,0,0,0,0,0,0,0
96777,0,0,0,0,0,0,0
96778,0.015904573,0.015904573,0,0,0,0,0.031809145
96779,0.02020202,0.015151515,0,0,0,0,0.035353535
96780,0,0,0,0,0,0,0
96781,0,0,0,0,0,0,0
96782,0.002162162,0.001621622,0,0,0,0,0.003783784
96783,0,0,0,0,0,0,0
96785,0.026785714,0,0,0,0,0,0.026785714
96786,0.002805836,0.002244669,0,0,0,0,0.005050505
96789,0.002266717,0.001133359,0.000755572,0,0,0,0.004155648
96790,0.013192612,0.01055409,0,0,0,0,0.023746702
96791,0.008130081,0,0,0,0,0,0.008130081
96792,0.003519356,0.002513826,0,0,0,0,0.006033183
