Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
British Virgin Islands,8774.249967847285,8265.528434914697,8282.757298731947,8418.32553455501,8544.078533401633,8673.76241244056,8884.24050660944,9079.891768910542,9436.098724563588,9395.904517506897,9602.563377057879,9787.911288505147,9932.420407966696,10218.123909896705,10201.80336367456,10227.501002383295,10452.843581025218,10595.802709263984,10764.395209272225,10981.69169833597,11251.340149364958,11585.431771746371,12002.545785867274,12451.21596943965,12920.843749608744,13416.888703372922,13943.954476628958,14532.962276806866,15138.443715101734,15714.251410111543,16262.409789547337,16757.60195994986,17209.279472341877,17626.740841458355,18016.974739939567,18411.845099769733,18869.945592541535,19352.622690113072,19829.649924139747,20318.157635286705
Brunei Darussalam,83798.29126801292,85622.77751535544,88683.84252886927,92863.28973392815,97063.08452147977,101382.43268251527,107005.64872287936,112595.51548341353,118333.25065301177,124302.1638906774,130445.02471424657,136723.1938520954,142934.26618624834,149176.39559858825,155441.9801210985,161670.11212392995,167679.2796308798,173714.44713597122,179883.03014197588,186168.50467797025,192460.96156524523,198938.43604742296,205737.20565855573,212608.78437876134,219039.17178473988,225435.8140273925,232017.189411194,238701.32446657505,245437.62944874706,252168.04979175006,259190.02174714897,266372.3680887654,273715.1260163995,281278.6474664883,288878.7698078172,296197.8376799027,303917.1160543321,311714.2581388495,319457.8856852044,327338.8715515593
Bulgaria,7873107.7298908485,8002229.474989075,8045149.044504498,8100585.519251429,8156603.7185595175,8214904.064091988,8252914.0686149765,8290855.821561379,8291634.312647767,8398463.71726336,8446313.950930186,8502039.545046978,8561728.99400245,8583155.03364278,8676592.936718425,8752513.830258306,8776671.061462041,8818013.606048446,8856076.651188247,8887296.225487351,8909058.78346539,8920843.330590362,8923526.946268728,8921247.656298704,8916374.220634373,8909562.565395731,8901183.919729711,8883327.537508782,8857681.04989487,8826036.119735552,8780346.611490468,8723893.90443877,8653911.885021275,8576994.877476815,8506201.637157908,8442790.72443533,8365272.48726027,8286428.561506012,8209643.824274009,8120466.051256924
Burkina Faso,4838853.025444945,4899866.736780108,4976595.817326868,5037842.7734985575,5103182.145656256,5169817.865934793,5250172.193027346,5335128.455923662,5435614.689382441,5505676.510356319,5601567.031255232,5702848.867948044,5813328.377048979,5942342.703400448,6050028.833624823,6163876.797711326,6290412.441572193,6410732.494124286,6533634.004080392,6665933.34833793,6813614.532528726,6977761.19777919,7154281.6719818935,7342502.117106883,7536196.230182678,7732592.765566247,7931123.975723054,8134371.587815652,8344513.062164404,8563548.212820888,8797324.416430678,9044747.087396462,9306907.51462837,9578901.334519291,9850869.685964558,10118336.046267463,10393922.706822064,10670401.98411581,10947508.692757785,11234258.064992938
Burundi,2818711.219746336,2828696.386977969,2877609.4145779596,2938357.1262082686,3002047.651622254,3070541.283745275,3150825.7867565136,3234545.086098443,3329196.859686272,3390112.446534993,3457143.9264057223,3509594.7032882627,3548407.780927326,3592785.631466845,3621545.058601751,3664943.0680512525,3736101.2941981573,3813760.3220306896,3903087.05738308,4001557.01533278,4106186.099486581,4216975.615814294,4336106.496482624,4460073.583281383,4588759.679958746,4722963.061170981,4863589.939204011,5011354.230530022,5159066.93721761,5298303.086328308,5425741.457533107,5537535.523872887,5635728.421726143,5725402.371450114,5813465.053410977,5906544.982066993,6009971.096308554,6119359.987747327,6230286.041962156,6340326.214807008
Cabo Verde,209992.66575438116,203885.71775837342,210523.73927848594,218985.6676346112,226681.15097166697,233096.35243715573,240640.48566668836,247096.60394387093,256812.4694099641,255048.13514809468,261405.7075800724,267605.52010457654,270274.9543723148,275394.2743602064,272036.617687385,271073.3611591636,275823.00638311874,279334.25139013684,283916.8161447829,289294.8807332499,292950.6133758353,296838.9618057564,301072.81487078575,304492.20851264166,307189.9961197953,310421.2048378657,314511.8173572452,319540.7569399407,325258.91690569656,331236.17294933455,339713.31424421555,350594.77998088085,362182.16803735093,372778.538646907,381556.7350735551,389633.5199881343,398547.5727350434,408292.4337305426,417236.7687128109,426481.32725736155
Cambodia,5751040.753657289,5835355.854311973,6033749.911116093,6140888.969942413,6266781.878792599,6399960.055394158,6541245.806092203,6700812.728809774,6942111.98246938,6943096.508244067,7062395.244092159,7160370.90617042,7257491.66375237,7417950.682674304,7376610.169225268,7316628.423548572,7303788.275434025,7192198.140382111,7053624.320916466,6946676.673214085,6920163.209306009,6980113.644805677,7102984.745072909,7277307.998725481,7487653.095337339,7691032.042922951,7869513.986031495,8051225.621438719,8250519.362859599,8486905.186276175,8779989.703132294,9135573.667124353,9553243.415207215,9991476.514107652,10393446.0743564,10746323.484399296,11068241.912054934,11351907.838721298,11619113.408661552,11930592.141219087
Cameroon,5189217.230763292,5250004.899541908,5387029.3216652665,5514896.766834599,5646815.335320522,5780371.082589969,5922288.604339102,6068450.601332165,6252582.901814545,6354298.832043083,6518230.053357694,6688073.607218504,6866799.535939649,7087977.212849252,7252962.113112938,7436508.332973057,7669619.972789475,7890768.797510887,8118624.5460369475,8358553.9122921275,8614758.993171524,8886575.165592393,9171659.786664683,9465782.888461063,9769450.627248101,10076622.095878776,10384280.592722913,10700350.569733903,11023110.215396969,11351310.70561791,11688682.417333577,12033130.636472134,12386456.973825505,12743576.108309573,13097020.937592782,13449916.09258842,13812954.48762093,14178363.09104159,14543160.763081137,14915543.191321114
Canada,18074344.638599493,18275036.246620584,18560088.619268056,18922186.354912896,19277291.607343372,19624484.462102655,19987066.850465357,20334686.60776822,20677723.536630902,21028542.200850025,21404708.74290334,21794269.250794727,22145894.08829895,22475621.564122237,22790105.705756195,23097646.474968784,23390098.118989863,23680063.061386693,23978668.99278712,24286454.46489725,24574153.278382674,24870445.482039265,25181136.501196887,25487113.042650115,25776808.92434114,26071751.155284204,26380139.466152787,26692887.57056259,27007842.621805992,27321997.918734085,27657550.813991897,28014874.72603279,28369241.26722348,28709604.131695606,29037838.021805063,29360299.303665847,29678746.397173025,30004171.632110912,30319985.54852245,30624895.607162517
Cayman Islands,8465.413291941804,8293.548172686118,8160.8261493030295,8061.484455914062,7964.364968460024,7868.836507655011,8135.282975817827,8409.471257412704,8708.710760697752,9052.01061279641,9450.89947228662,9905.24648656782,10412.4413406315,10971.749947631004,11580.712692232046,12233.521484679746,12842.45498188454,13496.166736471627,14189.492000675033,14912.946656360116,15652.893328285747,16442.12600553241,17282.36544512633,18165.057922054504,18953.22423106889,19753.709418826795,20627.4006363722,21542.444208011002,22511.422519588552,23533.114649753014,24708.43771788571,26001.988199357147,27429.686771098175,28989.186171216483,30587.84235039144,32113.798719090235,33817.756275254855,35573.052823370235,37344.576137909025,39214.3355177021
Central African Republic,1489576.87647214,1527838.3853073462,1564071.3515447294,1593115.2272524892,1624002.078224905,1655624.8256620995,1686699.5696405491,1719973.6022176058,1756283.754080398,1786515.8481598794,1821044.1949539476,1856126.9733224274,1893696.1408953965,1935585.3570576143,1975454.2044314728,2019222.9190430618,2068586.1768946717,2119178.299019782,2171612.495902786,2226554.445441835,2285092.529530259,2346590.387316785,2409585.6929576034,2474971.0472178794,2543087.436205693,2611864.88474067,2680395.0512563465,2749264.5960279927,2819073.335694769,2890327.383763742,2963169.4390571453,3037677.2427051924,3114210.903599086,3191908.0206337515,3269785.5626053275,3348235.326527713,3427882.496575007,3507997.1184337502,3588672.639380993,3670713.180245132
Chad,3032308.709510831,3091327.2009424027,3142398.3737612637,3186224.0900966963,3233412.1389880213,3282331.583490466,3346893.467859229,3414660.051399827,3485216.9726005155,3559752.090796216,3640045.947141391,3727776.901981113,3824208.0104253315,3923399.475602983,4018986.162408161,4107298.1724913446,4181121.726817037,4247362.411312373,4311730.092523908,4384109.921613405,4472269.392556714,4579529.856604678,4702193.235028689,4838992.672090331,4979326.8836479895,5122580.750539427,5269679.7080115285,5420568.972291997,5578728.985597994,5747650.844177514,5933616.617605798,6136267.846131768,6355306.844833417,6586172.772003217,6818667.275034515,7044217.6299122255,7273278.782046463,7500984.224577053,7728997.563589693,7965897.6419564495
Channel Islands,111488.58032790989,110787.07623820513,111017.98250881911,112111.66741342837,113183.21177599595,114345.4057147856,115810.5216268953,117220.48344611068,118668.13733360003,120140.65678277164,121530.97558033434,122799.35208706721,123788.81475180696,124617.81158353653,125325.01032957516,125901.878730589,126410.85989508881,126863.4162762159,127381.9975581223,127986.35701015199,128621.97133047953,129370.36793071395,130360.4066883342,131419.76199477387,132454.6726711975,133597.73500113914,134918.8448351039,136402.5780643229,137909.9178085053,139303.752494251,140545.97815243923,141576.4286065494,142375.79796009953,143045.33186481637,143706.40555014298,144387.2021757902,145106.56272274134,145858.8848207964,146585.47876835626,147222.72358843707
Chile,7795933.152343471,7896066.237752821,8039818.099062547,8224800.015205808,8409391.62638332,8594557.342015054,8793481.167806221,8989316.18460198,9183817.741943285,9378146.205571461,9577546.84550891,9774261.354379036,9944314.87173459,10100645.368602434,10253358.275251023,10411334.696609344,10572464.870429356,10741422.3388826,10921183.84732401,11107705.466330413,11283202.204309195,11461158.606216758,11645865.94427964,11828857.846808605,12006373.89599005,12190863.864142228,12386956.4303056,12589228.22991563,12794980.611256817,13000526.703176994,13215436.80837284,13439229.568665318,13659957.068156052,13872998.070244867,14080601.583944224,14286720.991765957,14492208.234050117,14702070.936162878,14907823.863724498,15108498.830774048
