FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13
5111,11.9,13.8,34.1,38.4
5113,10.7,13.9,31.9,36.7
5115,9.6,11.2,31.1,32.1
5117,11.1,14.3,30.3,36.3
5119,10.0,12.0,28.3,31.7
5121,11.4,12.7,30.3,35.3
5123,12.9,16.4,34.8,42.5
5125,9.6,11.8,29.6,32.5
5127,10.9,11.4,31.2,32.5
5129,12.5,13.4,30.1,35.0
5131,10.1,12.9,29.8,36.9
5133,12.1,12.2,32.8,36.7
5135,11.2,15.2,26.7,37.3
5137,11.0,12.7,29.7,32.6
5139,11.1,13.5,29.7,39.4
5141,11.1,12.9,29.2,35.6
5143,7.8,9.1,27.4,30.6
5145,8.8,10.1,29.0,36.3
5147,12.2,14.7,32.3,35.8
5149,11.7,12.9,32.9,37.1
6001,7.6,8.5,19.5,20.0
6003,8.4,10.3,24.6,23.4
6005,9.3,10.2,24.6,25.5
6007,8.3,10.2,24.4,25.9
6009,7.3,10.0,24.4,23.5
6011,7.6,9.6,24.6,25.4
6013,7.0,9.4,24.6,25.0
6015,8.1,8.4,28.5,25.5
6017,7.1,7.5,20.3,20.6
6019,8.5,9.4,28.4,26.6
6021,7.7,8.4,28.5,26.7
6023,9.4,8.8,25.1,25.5
6025,6.7,8.3,26.7,26.3
6027,8.0,9.4,22.7,23.3
6029,7.0,9.3,29.0,30.3
6031,5.7,7.5,29.4,26.4
6033,9.2,10.1,25.8,26.2
6035,6.5,7.6,28.4,23.9
6037,7.8,9.1,20.9,21.4
6039,7.8,7.9,28.7,26.5
6041,6.4,7.9,16.3,18.9
6043,8.3,10.7,23.8,24.4
6045,7.0,8.4,21.0,22.4
6047,7.5,9.2,31.4,29.5
6049,8.2,10.4,22.8,23.2
6051,7.0,7.4,20.7,22.8
6053,7.8,7.6,22.7,22.3
6055,7.3,8.4,22.0,23.7
6057,6.9,7.7,21.3,21.1
6059,7.0,8.0,18.8,19.7
6061,7.1,9.0,18.9,21.7
6063,8.0,9.8,23.1,23.0
6065,8.1,9.0,26.2,26.0
6067,8.4,8.4,26.7,27.4
6069,7.2,7.6,25.0,23.3
6071,7.7,9.2,28.6,27.9
6073,7.1,7.7,21.7,19.1
6075,7.9,7.9,16.3,16.1
6077,7.9,10.3,30.3,28.3
6079,6.4,8.5,21.6,24.5
6081,6.8,8.3,19.4,21.1
6083,7.5,7.1,19.0,18.2
6085,7.4,8.4,20.2,19.5
6087,6.2,7.0,17.1,20.2
6089,7.1,9.4,27.2,26.5
6091,8.8,9.6,24.3,22.5
6093,8.0,8.6,25.3,23.2
6095,9.9,9.8,28.0,30.1
6097,6.6,7.9,20.0,20.9
6099,8.1,9.7,30.2,32.6
6101,7.9,8.6,25.3,28.7
6103,8.7,11.2,23.5,27.2
6105,9.6,10.1,23.3,25.1
6107,7.6,8.0,31.6,32.6
6109,6.8,10.1,22.2,20.2
6111,7.1,7.6,23.5,20.3
6113,6.7,6.9,27.2,22.7
6115,6.2,7.6,31.7,24.8
8001,6.5,7.2,24.3,26.3
8003,5.6,6.7,21.0,23.0
8005,5.9,6.3,18.6,21.4
8007,5.4,5.9,15.7,16.5
8009,8.2,7.6,25.2,19.4
8011,5.6,7.0,21.4,26.5
8013,3.5,4.1,13.2,13.4
8014,4.5,5.5,20.2,17.6
8015,5.0,6.4,14.9,20.5
8017,6.1,6.5,18.7,23.7
8019,5.4,7.9,21.6,18.1
8021,6.2,6.0,17.3,24.5
8023,7.3,8.3,19.1,21.9
8025,4.7,6.0,20.0,21.6
8027,6.4,6.8,17.7,20.5
8029,6.7,7.6,18.8,20.4
8031,5.4,6.0,17.0,16.4
8033,5.7,7.5,19.7,19.8
8035,3.4,5.3,16.0,17.0
8037,3.0,3.3,12.9,11.8
8039,4.7,5.2,19.4,19.6
8041,5.5,7.0,19.5,22.3
8043,7.0,8.1,21.2,22.8
8045,4.6,4.7,14.8,20.0
8047,4.9,6.3,17.4,19.7
8049,4.7,5.6,17.4,17.4
8051,3.6,4.6,14.9,14.8
8053,6.4,6.6,18.0,20.5
8055,6.5,7.6,18.8,20.1
8057,6.7,6.6,21.6,21.4
8059,5.4,5.4,17.7,18.3
8061,7.3,7.7,19.5,19.5
8063,6.3,7.3,24.9,27.6
8065,4.5,5.4,18.1,17.5
8067,4.0,4.8,14.3,16.3
8069,4.6,5.2,17.0,18.7
8071,6.3,7.7,21.4,21.0
8073,6.2,7.6,21.6,23.8
8075,5.9,7.0,22.6,25.4
8077,5.6,7.2,20.4,23.5
8079,6.2,6.8,18.8,18.1
8081,5.7,6.3,20.6,25.8
8083,6.8,6.5,21.2,21.7
8085,5.4,8.1,16.4,19.7
8087,7.5,7.4,23.5,26.9
8089,7.1,6.8,24.6,26.9
8091,6.4,6.7,18.2,18.6
8093,4.9,6.7,16.6,20.5
8095,7.6,7.8,20.9,22.8
8097,4.3,5.1,13.7,14.9
8099,5.7,8.4,20.2,26.1
8101,6.8,9.1,23.3,25.9
8103,5.2,6.0,16.5,22.6
8105,6.1,6.9,19.5,23.2
8107,3.4,4.1,11.7,14.3
8109,5.4,7.0,20.7,19.7
8111,4.9,6.7,18.3,19.3
8113,4.2,5.0,15.3,16.7
8115,7.0,8.0,21.4,22.1
8117,3.5,4.1,13.0,13.1
8119,5.3,6.9,18.0,20.3
8121,7.3,6.5,21.7,23.2
8123,5.5,6.4,23.9,26.0
8125,6.4,6.1,22.6,24.8
9001,6.8,7.6,18.4,21.4
9003,7.9,9.6,22.6,26.8
9005,7.5,6.7,20.3,23.9
9007,7.4,8.4,22.8,24.1
9009,8.5,9.0,25.3,26.5
9011,7.8,9.2,23.5,27.6
9013,6.4,7.2,22.5,24.8
9015,9.1,10.1,28.4,29.6
10001,11.4,12.8,32.4,32.8
10003,7.9,9.0,27.2,27.7
10005,11.2,13.2,28.9,31.0
11001,8.3,8.1,21.2,22.4
12001,8.2,8.3,25.9,25.6
12003,12.2,13.0,30.6,35.8
12005,10.7,11.2,25.5,29.9
12007,11.3,14.4,33.1,35.9
12009,11.1,11.7,25.1,25.6
12011,9.3,9.5,22.2,24.4
12013,11.6,15.5,29.8,39.4
12015,11.5,14.1,25.3,25.7
12017,12.4,14.6,28.6,26.3
12019,10.6,12.0,27.5,29.7
12021,8.8,8.6,21.2,19.5
12023,10.1,12.7,29.2,36.3
12027,9.9,13.7,29.6,36.0
12029,11.4,14.0,30.5,30.6
12031,10.4,11.2,27.3,30.6
12033,11.0,12.4,28.5,28.9
12035,10.5,12.4,25.5,24.2
12037,10.2,11.0,27.3,32.2
12039,11.9,17.1,34.0,36.5
12041,9.5,8.4,30.7,31.5
12043,11.8,13.8,31.7,33.1
12045,9.7,11.1,26.0,30.9
12047,11.0,13.0,32.0,33.2
12049,12.0,12.6,35.4,33.9
12051,8.6,13.7,31.9,35.2
12053,10.8,13.4,25.3,32.1
12055,12.8,14.2,25.8,31.0
12057,8.3,10.4,26.1,28.3
12059,12.3,14.2,29.5,31.6
12061,10.0,11.4,21.1,24.5
12063,11.5,12.4,31.1,34.7
12065,11.2,11.7,30.1,32.2
12067,10.0,13.2,31.6,35.3
12069,11.5,14.7,24.4,29.3
12071,10.8,9.9,24.9,24.6
12073,8.4,8.3,27.3,26.4
12075,11.2,14.1,29.1,32.2
12077,10.3,13.4,33.9,39.6
12079,12.0,15.6,32.0,34.1
12081,9.0,10.6,23.8,25.3
12083,12.0,12.6,26.0,29.2
12085,9.0,11.3,20.2,21.3
12086,9.1,7.9,22.4,21.0
12087,8.6,8.6,20.1,22.0
12089,10.3,10.8,25.6,28.6
12091,9.5,9.7,24.1,26.4
12093,10.8,11.6,29.5,31.0
12095,9.5,8.8,23.7,24.9
12097,9.1,12.0,26.3,29.1
12099,9.5,10.5,20.4,21.5
12101,10.1,12.2,24.0,31.1
12103,9.4,10.8,25.8,25.5
12105,10.8,14.3,29.9,32.3
12107,12.8,12.2,30.1,36.1
12109,8.5,9.0,21.8,21.9
12111,9.4,11.5,25.6,27.9
12113,9.1,9.0,23.1,26.1
12115,9.9,11.1,19.7,20.6
12117,8.9,10.0,24.2,24.6
12119,9.2,14.9,26.7,26.9
12121,11.0,13.5,31.5,33.3
12123,10.2,15.4,30.9,38.9
12125,11.5,12.5,34.2,37.1
12127,9.6,12.4,24.1,26.0
12129,9.1,11.7,29.6,36.4
12131,10.4,11.6,25.3,27.5
12133,10.7,12.9,29.3,38.5
13001,10.8,12.9,30.6,34.8
13003,10.5,11.5,29.4,35.3
13005,10.5,10.4,29.0,32.7
13007,13.0,14.8,32.7,30.0
13009,11.4,14.0,32.0,36.8
13011,10.1,11.1,27.9,27.0
13013,9.6,11.3,28.9,34.6
13015,9.7,12.1,28.7,35.2
13017,12.4,12.4,31.7,35.3
13019,12.5,14.2,30.9,34.7
13021,13.2,12.7,30.6,31.3
13023,12.3,13.6,29.7,30.4
13025,10.4,10.9,28.2,33.1
13027,13.3,14.5,31.5,33.5
13029,9.6,12.3,28.7,29.3
13031,9.6,12.0,30.4,33.5
13033,12.7,14.7,33.9,32.0
13035,11.5,11.7,29.9,28.7
13037,13.2,14.4,33.4,34.4
13039,10.7,10.9,27.6,31.5
13043,11.8,13.7,30.1,30.3
13045,11.9,11.3,31.3,31.7
13047,11.1,12.2,29.9,27.8
13049,11.1,11.6,29.6,32.0
13051,11.8,11.0,28.8,31.3
13053,6.8,6.4,30.8,27.3
13055,11.1,11.0,27.4,34.0
13057,7.2,8.7,24.5,26.9
13059,8.2,8.3,26.9,25.3
13061,15.9,17.2,33.4,29.8
13063,11.9,11.6,33.7,38.0
13065,11.6,12.9,29.9,29.6
13067,8.9,8.5,24.2,22.9
13069,11.9,11.5,29.8,34.8
13071,11.2,12.8,31.6,35.2
13073,9.7,10.4,27.1,30.3
13075,12.3,12.2,31.4,31.4
13077,10.3,10.6,28.4,26.8
13079,11.6,13.1,30.0,27.3
13081,12.0,14.2,31.6,31.1
13083,11.1,12.2,26.4,32.3
13085,9.9,10.5,26.8,27.7
13087,12.2,12.1,31.6,30.0
13089,10.1,10.0,26.7,27.3
