FIPS,STATE,NO_OF_DEPENDENTS,NO_OF_LOW_INCOME,NO_OF_MIDDLE_INCOME,NO_OF_HIGH_INCOME,AVG_DEPENDENTS,AVG_LOW_INCOME,AVG_MIDDLE_INCOME,AVG_HIGH_INCOME,AGI
1000,AL,25430.0,309460.0,1310660.0,402850.0,-1781363.0,1738975.0,13816780.0,20269894.0,103760136.0
1001,AL,210.0,3350.0,14520.0,5610.0,-5071.0,18238.0,159848.0,283133.0,1199480.0
1003,AL,1730.0,13480.0,53720.0,21040.0,-174358.0,72576.0,584883.0,1078031.0,4965837.0
1005,AL,150.0,1750.0,6810.0,1360.0,-5020.0,10249.0,68551.0,67922.0,404981.0
1007,AL,70.0,1150.0,5480.0,1300.0,-3790.0,6507.0,59618.0,63615.0,361441.0
1009,AL,280.0,3270.0,14450.0,4010.0,-13826.0,17802.0,165246.0,189056.0,1003954.0
1011,AL,60.0,610.0,2970.0,310.0,-2238.0,3740.0,30183.0,14496.0,123974.0
1013,AL,80.0,1350.0,5720.0,1040.0,-2613.0,8039.0,58543.0,48983.0,316382.0
1015,AL,470.0,7680.0,32260.0,7480.0,-13599.0,42767.0,348844.0,352350.0,2060625.0
1017,AL,120.0,2300.0,11030.0,1400.0,-3877.0,13850.0,112670.0,65007.0,507480.0
1019,AL,160.0,1480.0,6050.0,1480.0,-9643.0,8005.0,63484.0,68449.0,373979.0
1021,AL,210.0,2560.0,11850.0,2840.0,-9624.0,14462.0,127005.0,136813.0,733155.0
1023,AL,70.0,770.0,3390.0,1010.0,-1750.0,4286.0,36859.0,46696.0,239865.0
1025,AL,120.0,1530.0,6780.0,1880.0,-4264.0,8862.0,69741.0,93368.0,482130.0
1027,AL,100.0,880.0,3850.0,730.0,-4290.0,4843.0,40229.0,33482.0,209069.0
1029,AL,90.0,840.0,3820.0,930.0,-3955.0,4771.0,42785.0,44920.0,239533.0
1031,AL,270.0,3130.0,12790.0,4650.0,-14166.0,17047.0,139062.0,242378.0,1065073.0
