FIPS,STATE,agi_stub,N1,A00100
1000,AL,1,25430.0,-1781363.0
1000,AL,2,309460.0,1738975.0
1000,AL,3,561010.0,9517884.0
1000,AL,4,490920.0,17629341.0
1000,AL,5,258730.0,15904133.0
1000,AL,6,162850.0,14090978.0
1000,AL,7,190960.0,25245176.0
1000,AL,8,49040.0,21415012.0
1001,AL,1,210.0,-5071.0
1001,AL,2,3350.0,18238.0
1001,AL,3,5740.0,97550.0
1001,AL,4,5390.0,195037.0
1001,AL,5,3390.0,209384.0
1001,AL,6,2500.0,216387.0
1001,AL,7,2790.0,363427.0
1001,AL,8,320.0,104528.0
1003,AL,1,1730.0,-174358.0
1003,AL,2,13480.0,72576.0
1003,AL,3,21660.0,369163.0
1003,AL,4,20080.0,726001.0
1003,AL,5,11980.0,738374.0
1003,AL,6,7940.0,687880.0
1003,AL,7,10150.0,1348433.0
1003,AL,8,2950.0,1197768.0
1005,AL,1,150.0,-5020.0
1005,AL,2,1750.0,10249.0
1005,AL,3,3360.0,57921.0
1005,AL,4,2440.0,85635.0
1005,AL,5,1010.0,62641.0
1005,AL,6,630.0,54673.0
1005,AL,7,640.0,82600.0
1005,AL,8,90.0,56282.0
1007,AL,1,70.0,-3790.0
1007,AL,2,1150.0,6507.0
1007,AL,3,2210.0,37437.0
1007,AL,4,2100.0,75664.0
1007,AL,5,1170.0,72717.0
1007,AL,6,660.0,56558.0
1007,AL,7,580.0,73828.0
1007,AL,8,60.0,42520.0
1009,AL,1,280.0,-13826.0
1009,AL,2,3270.0,17802.0
1009,AL,3,5340.0,91777.0
1009,AL,4,5620.0,204391.0
1009,AL,5,3490.0,214625.0
1009,AL,6,2110.0,182324.0
1009,AL,7,1670.0,210300.0
1009,AL,8,230.0,96561.0
1011,AL,1,60.0,-2238.0
1011,AL,2,610.0,3740.0
1011,AL,3,1650.0,29291.0
1011,AL,4,1000.0,34996.0
1011,AL,5,320.0,19741.0
1011,AL,6,150.0,12594.0
1011,AL,7,140.0,17397.0
1011,AL,8,20.0,8453.0
1013,AL,1,80.0,-2613.0
1013,AL,2,1350.0,8039.0
1013,AL,3,2680.0,45349.0
1013,AL,4,2190.0,77185.0
1013,AL,5,850.0,52110.0
1013,AL,6,530.0,45744.0
1013,AL,7,430.0,55579.0
1013,AL,8,80.0,34989.0
1015,AL,1,470.0,-13599.0
1015,AL,2,7680.0,42767.0
1015,AL,3,13110.0,222367.0
1015,AL,4,12480.0,449215.0
1015,AL,5,6670.0,409636.0
1015,AL,6,3650.0,314420.0
1015,AL,7,3270.0,417671.0
1015,AL,8,560.0,218148.0
1017,AL,1,120.0,-3877.0
1017,AL,2,2300.0,13850.0
1017,AL,3,5320.0,91051.0
1017,AL,4,4180.0,147342.0
1017,AL,5,1530.0,93119.0
1017,AL,6,750.0,64380.0
1017,AL,7,560.0,71447.0
1017,AL,8,90.0,30168.0
1019,AL,1,160.0,-9643.0
1019,AL,2,1480.0,8005.0
1019,AL,3,2600.0,43750.0
1019,AL,4,2230.0,80297.0
1019,AL,5,1220.0,74809.0
1019,AL,6,750.0,64446.0
1019,AL,7,630.0,78753.0
1019,AL,8,100.0,33562.0
1021,AL,1,210.0,-9624.0
1021,AL,2,2560.0,14462.0
1021,AL,3,4930.0,83771.0
1021,AL,4,4560.0,164191.0
1021,AL,5,2360.0,145471.0
1021,AL,6,1410.0,121760.0
1021,AL,7,1280.0,163627.0
1021,AL,8,150.0,49497.0
1023,AL,1,70.0,-1750.0
1023,AL,2,770.0,4286.0
1023,AL,3,1360.0,22995.0
1023,AL,4,1260.0,45259.0
1023,AL,5,770.0,47601.0
1023,AL,6,520.0,44256.0
1023,AL,7,420.0,53557.0
1023,AL,8,70.0,23661.0
1025,AL,1,120.0,-4264.0
1025,AL,2,1530.0,8862.0
1025,AL,3,3040.0,50555.0
1025,AL,4,2430.0,87780.0
1025,AL,5,1310.0,80801.0
1025,AL,6,870.0,74823.0
1025,AL,7,890.0,114815.0
1025,AL,8,120.0,68758.0
1027,AL,1,100.0,-4290.0
1027,AL,2,880.0,4843.0
1027,AL,3,1720.0,29979.0
1027,AL,4,1460.0,51979.0
1027,AL,5,670.0,40939.0
1027,AL,6,400.0,34229.0
1027,AL,7,280.0,35567.0
1027,AL,8,50.0,15823.0
1029,AL,1,90.0,-3955.0
1029,AL,2,840.0,4771.0
1029,AL,3,1460.0,24654.0
1029,AL,4,1520.0,55438.0
1029,AL,5,840.0,51403.0
1029,AL,6,510.0,43937.0
1029,AL,7,380.0,49518.0
1029,AL,8,40.0,13767.0
1031,AL,1,270.0,-14166.0
1031,AL,2,3130.0,17047.0
1031,AL,3,5180.0,89653.0
1031,AL,4,4760.0,170447.0
1031,AL,5,2850.0,176448.0
1031,AL,6,1900.0,165228.0
1031,AL,7,2410.0,317190.0
1031,AL,8,340.0,143226.0
1033,AL,1,250.0,-20594.0
1033,AL,2,3730.0,20871.0
1033,AL,3,6460.0,109644.0
1033,AL,4,5640.0,202307.0
1033,AL,5,3220.0,198502.0
1033,AL,6,2020.0,173620.0
1033,AL,7,2030.0,258959.0
1033,AL,8,350.0,159461.0
1035,AL,1,90.0,-3068.0
1035,AL,2,870.0,5159.0
1035,AL,3,1650.0,27734.0
1035,AL,4,1270.0,44670.0
1035,AL,5,580.0,35251.0
1035,AL,6,270.0,23215.0
1035,AL,7,250.0,33042.0
1035,AL,8,40.0,22419.0
1037,AL,1,40.0,-2685.0
1037,AL,2,610.0,3478.0
1037,AL,3,1200.0,20969.0
1037,AL,4,1170.0,41209.0
1037,AL,5,540.0,33073.0
1037,AL,6,260.0,22393.0
1037,AL,7,200.0,25045.0
1037,AL,8,30.0,13516.0
1039,AL,1,260.0,-13188.0
1039,AL,2,2500.0,13960.0
1039,AL,3,4440.0,75691.0
1039,AL,4,3670.0,130342.0
1039,AL,5,1760.0,108550.0
1039,AL,6,1060.0,91253.0
1039,AL,7,1130.0,148032.0
1039,AL,8,280.0,102985.0
1041,AL,1,100.0,-5685.0
1041,AL,2,910.0,5225.0
1041,AL,3,1640.0,28733.0
1041,AL,4,1680.0,59548.0
1041,AL,5,670.0,41151.0
1041,AL,6,430.0,36844.0
1041,AL,7,310.0,38391.0
1041,AL,8,70.0,23715.0
1043,AL,1,450.0,-29513.0
1043,AL,2,5240.0,28187.0
1043,AL,3,8510.0,145404.0
1043,AL,4,8690.0,313103.0
1043,AL,5,4610.0,282301.0
1043,AL,6,2660.0,229195.0
1043,AL,7,2380.0,308571.0
1043,AL,8,510.0,228134.0
1045,AL,1,270.0,-8794.0
1045,AL,2,3010.0,16905.0
1045,AL,3,5760.0,98186.0
1045,AL,4,5170.0,185320.0
1045,AL,5,2760.0,170897.0
1045,AL,6,1680.0,144347.0
1045,AL,7,1480.0,190401.0
1045,AL,8,170.0,53201.0
1047,AL,1,200.0,-6103.0
1047,AL,2,2460.0,15882.0
1047,AL,3,6760.0,112079.0
1047,AL,4,4030.0,142441.0
1047,AL,5,1590.0,96711.0
1047,AL,6,810.0,70090.0
1047,AL,7,800.0,102990.0
1047,AL,8,180.0,84148.0
1049,AL,1,450.0,-23786.0
1049,AL,2,4430.0,24337.0
1049,AL,3,8390.0,146176.0
1049,AL,4,7090.0,251309.0
1049,AL,5,3190.0,194851.0
1049,AL,6,1590.0,136270.0
1049,AL,7,1240.0,158734.0
1049,AL,8,240.0,100845.0
1051,AL,1,380.0,-11263.0
1051,AL,2,4610.0,25604.0
1051,AL,3,8220.0,139970.0
1051,AL,4,8390.0,303966.0
1051,AL,5,5090.0,313826.0
1051,AL,6,3570.0,309309.0
1051,AL,7,3830.0,497292.0
1051,AL,8,540.0,189336.0
1053,AL,1,150.0,-8656.0
1053,AL,2,2190.0,12571.0
1053,AL,3,4450.0,75431.0
1053,AL,4,3700.0,133378.0
1053,AL,5,1750.0,108077.0
1053,AL,6,1010.0,87586.0
1053,AL,7,950.0,123215.0
1053,AL,8,180.0,83233.0
1055,AL,1,480.0,-15572.0
1055,AL,2,6900.0,38549.0
1055,AL,3,12630.0,214044.0
1055,AL,4,10270.0,368351.0
1055,AL,5,5340.0,328925.0
1055,AL,6,3130.0,269575.0
1055,AL,7,2690.0,345711.0
1055,AL,8,570.0,242498.0
1057,AL,1,100.0,-5373.0
1057,AL,2,1010.0,5703.0
1057,AL,3,1730.0,29457.0
1057,AL,4,1640.0,59051.0
1057,AL,5,840.0,51590.0
1057,AL,6,510.0,44272.0
1057,AL,7,440.0,55503.0
1057,AL,8,50.0,13637.0
1059,AL,1,160.0,-12394.0
1059,AL,2,1980.0,11072.0
1059,AL,3,3880.0,67617.0
1059,AL,4,3400.0,119262.0
1059,AL,5,1470.0,89646.0
1059,AL,6,730.0,62672.0
1059,AL,7,600.0,76184.0
1059,AL,8,130.0,52427.0
1061,AL,1,220.0,-18218.0
1061,AL,2,1690.0,9444.0
1061,AL,3,3100.0,52283.0
1061,AL,4,2550.0,89603.0
1061,AL,5,1250.0,76460.0
1061,AL,6,740.0,63557.0
1061,AL,7,630.0,79699.0
1061,AL,8,100.0,36312.0
1063,AL,1,70.0,-1910.0
1063,AL,2,540.0,3443.0
1063,AL,3,1380.0,22999.0
1063,AL,4,830.0,28808.0
1063,AL,5,310.0,19374.0
1063,AL,6,180.0,15671.0
1063,AL,7,150.0,18852.0
1063,AL,8,20.0,11021.0
1065,AL,1,80.0,-3642.0
1065,AL,2,900.0,5394.0
1065,AL,3,2110.0,35773.0
1065,AL,4,1710.0,60306.0
1065,AL,5,790.0,48620.0
1065,AL,6,460.0,39470.0
1065,AL,7,320.0,40871.0
1065,AL,8,40.0,13032.0
1067,AL,1,120.0,-7490.0
1067,AL,2,1050.0,5979.0
1067,AL,3,1960.0,33472.0
1067,AL,4,1770.0,62662.0
1067,AL,5,950.0,57803.0
1067,AL,6,530.0,46166.0
1067,AL,7,580.0,74472.0
1067,AL,8,90.0,31781.0
1069,AL,1,670.0,-61962.0
1069,AL,2,7350.0,41659.0
1069,AL,3,13210.0,223182.0
1069,AL,4,10440.0,371335.0
1069,AL,5,5090.0,313497.0
1069,AL,6,3300.0,285399.0
1069,AL,7,3810.0,501120.0
1069,AL,8,1130.0,519314.0
1071,AL,1,260.0,-14587.0
1071,AL,2,3420.0,18901.0
1071,AL,3,5860.0,101476.0
1071,AL,4,5640.0,201793.0
1071,AL,5,2880.0,176358.0
1071,AL,6,1610.0,139192.0
1071,AL,7,1410.0,181523.0
1071,AL,8,250.0,104010.0
1073,AL,1,3380.0,-329087.0
1073,AL,2,42950.0,242776.0
1073,AL,3,79820.0,1349254.0
1073,AL,4,72400.0,2602159.0
1073,AL,5,35630.0,2178496.0
1073,AL,6,21530.0,1864700.0
1073,AL,7,29260.0,3925783.0
1073,AL,8,11560.0,5854139.0
1075,AL,1,70.0,-2597.0
1075,AL,2,860.0,4785.0
1075,AL,3,1450.0,24309.0
1075,AL,4,1410.0,52142.0
1075,AL,5,770.0,47035.0
1075,AL,6,480.0,41151.0
1075,AL,7,300.0,37293.0
1075,AL,8,20.0,8717.0
1077,AL,1,430.0,-17629.0
1077,AL,2,6510.0,35184.0
1077,AL,3,9970.0,168655.0
1077,AL,4,8640.0,311830.0
1077,AL,5,5120.0,314414.0
1077,AL,6,3220.0,278190.0
1077,AL,7,3500.0,458213.0
1077,AL,8,780.0,333998.0
1079,AL,1,170.0,-8068.0
1079,AL,2,2060.0,11693.0
